seed_id,listing_name,listing_owner
W00228,"Cameron, N. - Antique French Polishing",Neil Cameron
W00057,"Renton, P. - Staircase Specialists",Philip Renton
W00499,"Elliot Fine Furniture, t/a S. Elliot",Sarah Elliot
W00494,MILBURN AND SONS - Master Joiners,Arthur Milburn
W00540,K. Dunn Shopfitting | Retail & Commercial,Kevin Dunn
W00328,Northumberland Staircases Ltd,George Northumberland
W00003,Thwaite Boat Building (Traditional Crafts),Ian Thwaite
W00095,ROSS Shopfitting & Maintenance Services,Andrew Ross
W00191,"Kelson, D. - Cabinet Maker",Derek Kelson
W00615,The Cabinet Workshop (Siddle),Nigel Siddle
W00529,Young & Sons - Staircases|Joinery|Carpentry,George Young
W00522,Staines Joinery Limited,Philip Staines
W00437,"Hedgecote, N. - Bespoke Joiners",Nigel Hedgecote
W00157,Gribble Shopfitting (est. 1988),Nigel Gribble
W00592,TROWBRIDGE STAIRCASE SPECIALISTS,Alastair Trowbridge
W00196,Trotter Shopfitting & Co,Kevin Trotter
W00168,Nuttall & Sons Joinery Ltd,Reginald Nuttall
W00333,Tidwell & Sons (General Joiners),Reginald Tidwell
W00218,"Middleton Shopfitting Services, t/a H. Middleton",Harry Middleton
W00397,Pennance Cabinet Makers - Bespoke Furniture,Geoffrey Pennance
W00110,"Bevan, G. - Cabinet Maker & Woodturner",Gareth Bevan
W00119,Tudor French Polishing & Restoration,Helen Tudor
W00567,"Alderley, G. - Shopfitter",Graham Alderley
W00215,RYDELL JOINERY,Nigel Rydell
W00411,Warington and Sons Joinery Ltd,Arthur Warington
W00355,Saffron Cabinet Making - Fine Woodwork,Julian Saffron
W00631,"Parris, S. - Master Joiners",Simon Parris
W00503,M. Clough Joinery & Woodwork,Martin Clough
W00080,GREAVES CABINET MAKING - Fine Furniture & Restoration,Victor Greaves
W00312,"Owens Cabinet Making, t/a I. Owens",Iestyn Owens
W00217,Grover & Co. Cabinet Makers Limited,Basil Grover
W00015,Nethercott and Sons (est. 1984) Joiners,Philip Nethercott
W00241,Kerr Shopfitting | Retail Interiors,Nigel Kerr
W00023,Sterling French Polishing - O. Sterling,Owen Sterling
W00266,"Hawthorne, M. - Bespoke Cabinetry",Miles Hawthorne
W00414,DEWHURST CARPENTRY LTD - Doors|Windows|Flooring,Nigel Dewhurst
W00559,Trotman and Sons Joinery & Woodwork,Barry Trotman
W00435,"Sedgebrook, A. - Joinery Services",Alastair Sedgebrook
W00476,Moncreiffe & Sons (Cabinet Makers) Ltd,Lachlan Moncreiffe
W00282,Harding Wood Turners - C. Harding,Clive Harding
W00488,Wynne Wood Turning Limited - Specialist Lathe Work,Geraint Wynne
W00469,Thornecroft Staircases & Balustrades,Miles Thornecroft
W00123,"Bowers, G. - Staircase Specialist",Glyn Bowers
W00617,Pennyworth Cabinetry Ltd - A. Pennyworth,Alastair Pennyworth
W00531,GRAHAM SHOPFITTING LLP - Commercial Fit-outs,Peter Graham
W00614,"Blackett, O. - Joiners & Carpenters",Oliver Blackett
W00516,Stapleton Shopfitters - M. Stapleton,Miles Stapleton
W00281,Archer Boat Building - Traditional Craft,Heath Archer
W00024,Hallowell & Sons Carpentry & Joinery,Bernard Hallowell
W00375,ULLSWATER JOINERY LTD - Bespoke Windows,David Ullswater
W00627,Hoddinott Shopfitting (Reg. Hoddinott) Ltd,Reginald Hoddinott
W00359,"Rowan, I. - Joiners & Carpenters",Ian Rowan
W00365,GRASMERE BOAT BUILDING (Wainwright),Arthur Wainwright
W00583,Waring Fine Furniture t/a J. Waring,Julian Waring
W00619,Cotswold & Sons Carpentry - Kitchens|Doors,Ian Cotswold
W00371,"Rawlinson, T. - Antique Furniture Restoration",Timothy Rawlinson
W00195,Hadley French Polishing & Co,Philip Hadley
W00450,Langton and Sons (est. 1984) Carpentry,Arthur Langton
W00532,"Livingston, H. - French Polisher Limited",Hugh Livingston
W00482,Logan Woodturning - Specialist Lathe Work,Craig Logan
W00336,KENTON CABINET MAKERS LTD - Bespoke Storage,Graham Kenton
W00496,"Ponsonby, M. - French Polishing",Miles Ponsonby
W00158,Poldarky Joiners & Sons (G. Poldarky),Geoffrey Poldarky
W00475,Arbuthnott Boat Bldg - Traditional Craftsmen,Ewan Arbuthnott
W00227,Mackenzie Shopfitting and Company,Roderick Mackenzie
W00597,"Kincaid, R. - Joiners",Robert Kincaid
W00603,Mackie's Cabinet Making (Fergus Mackie),Fergus Mackie
W00570,PYE FRENCH POLISHING Ltd - Veneering|Repair,Reginald Pye
W00473,"Driftwood Boat Builders, t/a S. Driftwood",Soren Driftwood
W00580,Tidmarsh Shopfitting Limited,Lawrence Tidmarsh
W00575,"Wilder, H. - Carpentry & Joinery",Heath Wilder
W00026,PENHALIGON Boat Building - Falmouth,Alistair Penhaligon
W00556,Maitland Shopfitting LLP (Claire Maitland),Claire Maitland
W00117,Pritchard and Sons Cabinetry,Dylan Pritchard
W00134,Sewell Staircases Ltd - Specialist Installations,Kirsty Sewell
W00252,Gough Wood Turning (R. Gough),Raymond Gough
W00417,"Bramley, D. - Staircases & Banisters",Derek Bramley
W00576,AMES Woodturning (est. 1984),Peter Ames
W00173,Towan Boat Building - Traditional Craftsmen,Crispin Towan
W00210,"Sterndale, A. - French Polishing & Restoration",Alastair Sterndale
W00239,Ostler and Sons Cabinet Makers,Reginald Ostler
W00514,WILDMAN CARPENTRY - Bespoke Fittings,Peter Wildman
W00033,Osborne & Sons Boat Builders Ltd,Reginald Osborne
W00507,Haskins Carpentry | Kitchens | Doors,Arthur Haskins
W00104,Blackwood and Sons (Joinery),Geoffrey Blackwood
W00590,"Haze, T. - Fine Cabinetry",Toby Haze
W00423,GRIMM SHOPFITTING Limited,Marcus Grimm
W00130,Rees Cabinetry | M. Rees,Myfanwy Rees
W00230,"Forbes Shopfitting, t/a Donald Forbes",Donald Forbes
W00045,STARK Cabinet Making (LLP),Miles Stark
W00126,"Watkins, L. - Wood Turner",Lowri Watkins
W00035,Sloane Joinery & Co,Felicity Sloane
W00550,Tinne Boat Building - Marine Specialists,Lars Tinne
W00616,"Liddell, F. - Boat Building",Fiona Liddell
W00144,Wray & Sons Carpentry (est. 1975),Thomas Wray
W00535,BRYN Carpentry & Joinery LLP,Sion Bryn
W00392,"Rutter, G. - Wood Turning & Lathe Work",George Rutter
W00136,Batten Shopfitting Ltd - Commercial Outfits,Clive Batten
W00519,Tidman and Sons (Boat Builders),Albert Tidman
W00350,"Ashwell, C. - French Polisher & Finisher",Clive Ashwell
W00200,Gant Staircases Ltd,Nigel Gant
W00122,"Jenkins, H. - Bespoke Joinery",Huw Jenkins
W00549,"Carthew Fine Furniture, t/a N. Carthew",Norman Carthew
W00165,GODOLPHIN Shopfitting Ltd - Retail & Commercial,Rupert Godolphin
W00320,Gilsland and Sons (est. 1974) Boat Builders,Robert Gilsland
W00275,Warrington & Sons - Joinery|Kitchens|Doors,Stephen Warrington
W00290,Nutt Boat Building Limited,Wesley Nutt
W00322,"Stott, A. - Marine Craft & Boat Building",Alan Stott
W00075,The Shopfitting Studio (Hadrian) Ltd,Lawrence Hadrian
W00219,Sawyer Woodturning - Hand Turned Bowls & Gifts,Heath Sawyer
W00151,M. Kelynack - Carpentry & General Building,Marcus Kelynack
W00161,MENHENICK Carpentry & Co,Terence Menhenick
W00368,Fairfield Woodturning LLP - Traditional Lathe Work,Clive Fairfield
W00424,Crowley & Sons Carpenters,Derek Crowley
W00068,"Grahame, Alastair - Master Cabinet Maker",Alastair Grahame
W00610,Armstrong Joinery Ltd,Thomas Armstrong
W00621,Worsley Shopfitting - Commercial Interiors,Simon Worsley
W00323,Blyth & Sons (Staircase Specialists) Limited,Thomas Blyth
W00232,"Campbell, I. - Carpentry & Woodwork",Iain Campbell
W00099,Gallacher Shopfitting & Sons,Ian Gallacher
W00256,The Staircase Expert (Holt),Francis Holt
W00321,Morpeth Boat Building - Custom Woodcrafts,Derek Morpeth
W00183,BILLINGTON Joinery Ltd,Keith Billington
W00120,Morgan Boat Building & Co,Trevor Morgan
W00176,Butterworth & Son - Stairs|Lofts|Renovation,Derek Butterworth
W00008,Kelsall Boat Builders - Marine Specialists,Rupert Kelsall
W00096,"Craig, E. - Boat Building & Marine Repairs",E. Craig
W00455,Lunn's Boat Building (est. 1984),T. Lunn
W00460,"Winterbourne, P. - Antique Restoration & French Polishing",Percival Winterbourne
W00237,Buchanan Polishing Limited - Fine Finishes,Alistair Buchanan
W00279,O. Keats - French Polishing Services,Oliver Keats
W00297,KINNEAR Staircases | Bespoke Installations,R. Kinnear
W00216,Fennel Carpentry & Joinery (t/a O. Fennel),Oscar Fennel
W00018,Rutherford and Sons (Master Cabinet Makers),George Rutherford
W00553,"Langford, P. - Joinery & Woodwork",Peter Langford
W00596,STURT & SONS - Staircase Specialists & Woodwork,Harvey Sturt
W00492,Langdon Carpentry Limited - Kitchens|Doors|Flooring,Rupert Langdon
W00031,"Hocking, D. - Staircase Specialists Ltd",Derek Hocking
W00056,Calthorpe & Co Joiners,Edward Calthorpe
W00388,Owen Boat Building (Steffan Owen) LLP,Steffan Owen
W00611,DONKIN Wood Turning - Bespoke Lathe Work,S. Donkin
W00498,Widdrington & Sons Ltd - Joinery & Cabinetry,Philip Widdrington
W00019,Ashworth Boat Builders Limited,Kevin Ashworth
W00517,"Tilden, M. - Traditional Boat Builders",Marcus Tilden
W00453,Farrington Wood Turning (Ltd),Leo Farrington
W00389,Thomas Boat Building - Ivor Thomas,Ivor Thomas
W00533,Llewellyn & Sons Joinery (Ltd) - Bespoke Woodwork,Owain Llewellyn
W00445,Grafton Shopfitting - Alistair Grafton LLP,Alistair Grafton
W00579,Stroud Staircases Ltd - Gordon Stroud,Gordon Stroud
W00605,O'SULLIVAN Boat Building - Marine Specialists Ltd,Liam O'Sullivan
W00032,"Mace, T. - Shopfitting & Retail Fit-out",T. Mace
W00308,Lewis & Sons - Master Staircase Makers,A. Lewis
W00334,Swinford and Sons Limited (est. 1984),Harold Swinford
W00129,A. Palmer - French Polishing & Antique Restoration,Angharad Palmer
W00007,MATHER JOINERY | Bespoke Doors & Windows,D. Mather
W00011,"Fairclough Boat Building, t/a T. Fairclough",Terence Fairclough
W00077,"Fletcher, R. & Sons - Joiners",Robert Fletcher
W00101,Tait's Staircases Ltd,Fergus Tait
W00143,Finch Shopfitting | Retail Displays | LLP,Rupert Finch
W00447,"Pemberton, L. - Master Joiner",Lawrence Pemberton
W00246,Nelms Carpentry & Home Improvements,Rowan Nelms
W00090,Kinnaird Fine Furniture (Isobel Kinnaird),Isobel Kinnaird
W00509,REDFERN STAIRS - Specialist Fitters,Keith Redfern
W00338,"Hollis, P. Joinery Services",Peter Hollis
W00118,Howell & Co Carpentry,Mark Howell
W00385,Keir Joinery Limited - Kitchens|Wardrobes,Stuart Keir
W00039,The Staircase Specialist (Lowell),Victor Lowell
W00456,"Rotherham, C. - Staircases & Banisters",Colin Rotherham
W00185,Lathrop Carpentry & Co,David Lathrop
W00430,Mackintosh Shopfitting (Finlay Mackintosh) Ltd,Finlay Mackintosh
W00374,Appleby Shopfitting LLP - Commercial Interiors,Kevin Appleby
W00428,"la Roche, A. - French Polisher",Andre la Roche
W00272,Tatton & Sons - Staircase Specialists,Philip Tatton
W00303,Lawson Staircases (Limited Liability Partnership),Keith Lawson
W00260,Toller Boat Building - Traditional Craftsmen,Elias Toller
W00393,"Colton Shop Fitting, t/a I. Colton",Ian Colton
W00353,"Cousins, L. - Carpentry & General Building",Leonard Cousins
W00433,Ramsay's Fine Furniture Restoration,Gordon Ramsay
W00620,BRIDGWATER JOINERS Limited - Bespoke Windows|Doors,Malcolm Bridgwater
W00069,Pendlebury Joinery (est 1984) Master Joiners,Marcus Pendlebury
W00186,P. Winstanley t/a Winstanley Shopfitting,Paul Winstanley
W00436,The Staircase Studio (Tallow) Ltd,Simon Tallow
W00277,Shore and Sons - Traditional Woodturning,Victor Shore
W00543,"Tregidgo, M. - Staircase Specialists & Installation",Marcus Tregidgo
W00344,GALLOWAY French Polishing - Antique Restoration,Peter Galloway
W00400,Roscoe Wood Turning & Co,Felix Roscoe
W00555,Hadfield Carpentry (Timothy Hadfield),Timothy Hadfield
W00051,Blythe Wood Turning Limited,Simon Blythe
W00021,"Lowther, V. - Wood Turner",Victor Lowther
W00083,Hesketh Woodturning - Specialist Turning Services,Brian Hesketh
W00339,"Mallowan, J. - French Polisher",Julian Mallowan
W00384,Dalrymple & Sons Ltd - Staircases|Balustrades,Hugh Dalrymple
W00040,HEDGE French Polishing & Co,Nigel Hedge
W00525,Whitworth Cabinet Makers - Fine Furniture,Barry Whitworth
W00373,"Crakehall, G. - Staircase Specialist",Graham Crakehall
W00343,Ellwood French Polishing (Sion Ellwood),Sion Ellwood
W00600,URQUHART JOINERY Limited,Ruari Urquhart
W00166,"St Aubyn, L. - Antique French Polisher",Lawrence St Aubyn
W00009,Hargreaves Cabinet Making & Restoration,Simon Hargreaves
W00538,Hedgecoe Joiners - Bespoke Woodwork,Simon Hedgecoe
W00394,"Fairbanks, D. - Carpentry & Joinery Ltd",Derek Fairbanks
W00318,"Kettleburn, S. - Marine Carpentry & Restoration",Sian Kettleburn
W00534,"Trewartha Fine Furniture, t/a A. Trewartha",Alun Trewartha
W00155,Tremayne Boat Building (Partnership) - Traditional Hulls,Alun Tremayne
W00560,DALTON Carpentry Limited - Bespoke Fitting,Maurice Dalton
W00413,"Winterbottom, K. - Joinery | Windows | Doors",Kevin Winterbottom
W00440,Marchant's Cabinetry (est. 1988),Leo Marchant
W00314,"Davies-Jones, M. - Master Cabinet Makers",Myron Davies-Jones
W00295,Farquharson Woodworking & Design Ltd,Duncan Farquharson
W00381,TELFORD Boat Building LLP - Repairs & Maintenance,Geoff Telford
W00065,"Hatcher Shopfitting, t/a K. Hatcher",Kevin Hatcher
W00092,Guthrie Joinery (Limited) - Robert Guthrie,Robert Guthrie
W00081,Langdale and Sons - Wood Turning Specialists,Peter Langdale
W00036,Winch & Son (Boat Builders) Ltd - Falmouth,Gordon Winch
W00451,"Blackburn Shopfitting, t/a Derek Vane",Derek Vane
W00034,"Davenport, A. - Master Wood Turner",Arthur Davenport
W00306,BOWEN Carpentry LLP - Residential & Commercial,Geraint Bowen
W00577,Bentley & Sons - Joinery & Woodwork,Arthur Bentley
W00416,Calloway Boat Building (LLP),Hugh Calloway
W00316,"Hallowes, G. - Traditional Boat Building",Geoffrey Hallowes
W00160,Chilton Joinery & Woodwork - Philip Chilton,Philip Chilton
W00625,Edgecombe Boat Builders Ltd - Custom Builds,Nigel Edgecombe
W00300,Mitchell and Sons - Cabinet Makers (est. 1950),Derek Mitchell
W00058,SUTTON Shopfitting LLP | Retail Displays,Clive Sutton
W00013,"Sowerby, M. - Carpentry & Installations",Miles Sowerby
W00608,"Preece Fine Cabinets, t/a Graham Preece",Graham Preece
W00607,"Carew, J. - Joinery & Woodwork",Julian Carew
W00572,GEARY SHOPFITTING Limited - Retail Fit-outs,Alan Geary
W00043,Cutter Boat Building - Traditional Craftsman,Sean Cutter
W00511,"Baines, S. - Carpentry & Home Improvements",Simon Baines
W00431,Braid Carpentry (est. 1994) Ltd,Lauchlan Braid
W00429,MacAlister's Shopfitting | Commercial Interiors,Alastair MacAlister
W00128,Lloyd and Sons - Master Carpenters,Phillip Lloyd
W00270,"Crowther, N. - Bespoke Joinery",Neil Crowther
W00390,Benton & Sons Carpentry Ltd - Lofts|Extensions|Doors,Arthur Benton
W00558,The Staircase Gallery (Herrick LLP),Philip Herrick
W00109,MACLEOD SHOPFITTING - Retail & Display,Angus MacLeod
W00409,"Widden Joinery, t/a G. Widden",Graham Widden
W00598,Mackay Fine Furniture & Cabinetry,Angus Mackay
W00146,Hume Cabinet Makers Limited - Antique Restoration,Reginald Hume
W00286,"Rylance, O. - Cabinet Making",Oliver Rylance
W00249,Thackeray Staircases Ltd - Specialists in Oak,Miles Thackeray
W00044,Wetherell Wood Turning - Graham Wetherell & Co,Graham Wetherell
W00259,Harrow Carpentry Services (Liam Harrow),Liam Harrow
W00458,Trenchard Joinery Ltd - Windows|Doors|Sash,Reginald Trenchard
W00434,"Tennant, G. - French Polishing & Finishing",Geoffrey Tennant
W00048,"Yates, C. - Local Joiner",Colin Yates
W00278,Giles French Polishing - Furniture Restoration,Terence Giles
W00305,Hopkins Cabinetry Limited,Liam Hopkins
W00332,Rookwood Staircases - Bespoke Designs,Terrence Rookwood
W00497,"Ardley, P. - Wood Turner",Peter Ardley
W00242,Trestle Boat Building - Custom Yachts & Repairs,Finn Trestle
W00481,Abercrombie and Sons (est. 1984) Master Carpenters,D. Abercrombie
W00072,RIGG STAIRCASE Specialists Limited - Bespoke Joinery,Derek Rigg
W00145,"Brost, K. - Staircases | Banisters | Spindles",Karl Brost
W00349,Rowley & Sons Joinery Ltd t/a G. Rowley Woodwork,George Rowley
W00175,"Oakes, T. - Traditional Joinery",Terence Oakes
W00484,Pringle Carpentry & Construction (RFC Pringle),RFC Pringle
W00245,"Gresham Boat Builders - Traditional Wooden Boats, LLP",Hugo Gresham
W00443,"Ryder, S. - Bespoke Joinery & Cabinetry",Simon Ryder
W00432,Cunningham Boat Building (Keith Cunningham) Ltd,Keith Cunningham
W00004,GARRICK Shopfitting - Commercial Fit-outs | LLP,Marcus Garrick
W00468,The Cabinet Workshop (Gableman),Rupert Gableman
W00204,"Preston Shopfitting & Interiors, t/a G. Preston",Graham Preston
W00221,GUNN Shopfitting LLP - Retail Specialists,Hamish Gunn
W00565,"Croft, I. - French Polishing & Furniture Restoration",Ian Croft
W00626,Taggart Staircases - Specialist Joiners,Liam Taggart
W00276,Bottomley French Polishing Limited (Gary Bottomley),Gary Bottomley
W00386,"Moncrieff, A. - Carpentry & Woodwork",Angus Moncrieff
W00006,PENDLETON Staircase Specialists - Bespoke Stairs,Julian Pendleton
W00263,Gale and Sons Joiners & Woodworkers,Philip Gale
W00271,"Pickering, S. - French Polisher & Antique Finisher",Sean Pickering
W00209,Caldwell & Sons - Boat Building & Marine Carpentry,Robert Caldwell
W00177,Fairhurst Shopfitting Limited - Commercial Interiors,Clive Fairhurst
W00066,Thistlethwaite & Sons Wood Turners (est. 1955),George Thistlethwaite
W00419,"Lister, G. - Staircase Specialist",Graham Lister
W00480,"Strachan, A. - Fine Cabinetry & Furniture",A. Strachan
W00137,SUTTER French Polishing (est 1988),Julian Sutter
W00425,The Staircase Studio (Gisborne) Limited,Lawrence Gisborne
W00587,Pennell and Sons - Shopfitting | Retail Display | Fit-outs,Arthur Pennell
W00302,"Ballantyne, S. - Specialist Shopfitter",S. Ballantyne
W00052,PENDLE Shopfitting & Co,Geoffrey Pendle
W00140,Dax Carpentry Ltd - Bespoke Woodwork,Leo Dax
W00487,"Ceredigion, G. - Cabinet Makers",G. Ceredigion
W00452,Calder Boat Building t/a Ian Calder,Ian Calder
W00523,LONSDALE Staircases - Period & Modern,Victor Lonsdale
W00363,Aldridge & Sons Ltd - Fine Cabinetry,Franklin Aldridge
W00351,"Mercer, H. - Wood Turning & Spindle Work",H. Mercer
W00001,Holloway Boat Building (est. 1950) Limited,Arthur Holloway
W00396,la Croix Wood Turning - R. la Croix,Remy la Croix
W00467,QUAYLE Boat Building - Traditional Craftsmen,Harrison Quayle
W00071,"Winstone, P. - Wood Turner",P. Winstone
W00223,Fraser Shopfitting & Joinery,Ian Fraser
W00536,Davies and Sons Cabinetry Ltd,Geraint Davies
W00342,"Coldwell, I. - Carpentry & General Joinery",I. Coldwell
W00233,Rattray Joinery (M. Rattray),Malcolm Rattray
W00415,KENSINGTON Shopfitting - Retail Interiors,Miles Kensington
W00505,Costelow & Sons - Master Carpenters,Basil Costelow
W00005,Sutcliffe Boat Builders & Co,Peter Sutcliffe
W00064,"Beaumont, L. - Cabinetry & Design",L. Beaumont
W00372,Hutcheson Carpentry Ltd - Kitchens|Doors|Flooring,Robert Hutcheson
